sensor,Depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Q
245673,9,1530635820,           2018-07-03 16:37:00,           2018-07-03 10:37:00,3.49,26.799,5.199709,102.855342,0.991
245673,9,1530637620,           2018-07-03 17:07:00,           2018-07-03 11:07:00,3.5,25.753,5.337699,103.475221,0.984
245673,9,1530639420,           2018-07-03 17:37:00,           2018-07-03 11:37:00,3.5,26.216,5.239705,102.489562,0.987
245673,9,1530641220,           2018-07-03 18:07:00,           2018-07-03 12:07:00,3.5,7.97,8.047478,105.905951,0.976
245673,9,1530643020,           2018-07-03 18:37:00,           2018-07-03 12:37:00,3.49,6.72,7.971477,101.661917,0.983
245673,9,1530644820,           2018-07-03 19:07:00,           2018-07-03 13:07:00,3.49,6.662,7.977476,101.588598,0.984
245673,9,1530646620,           2018-07-03 19:37:00,           2018-07-03 13:37:00,3.49,6.604,7.930479,100.84124,0.984
245673,9,1530648420,           2018-07-03 20:07:00,           2018-07-03 14:07:00,3.48,6.585,7.950478,101.046658,0.984
245673,9,1530650220,           2018-07-03 20:37:00,           2018-07-03 14:37:00,3.48,6.643,7.91748,100.775884,0.983
245673,9,1530652020,           2018-07-03 21:07:00,           2018-07-03 15:07:00,3.48,6.681,7.971477,101.561235,0.983
245673,9,1530653820,           2018-07-03 21:37:00,           2018-07-03 15:37:00,3.48,6.662,7.966477,101.448529,0.983
245673,9,1530655620,           2018-07-03 22:07:00,           2018-07-03 16:07:00,3.48,6.614,7.975476,101.439217,0.984
245673,9,1530657420,           2018-07-03 22:37:00,           2018-07-03 16:37:00,3.47,6.72,7.972477,101.674669,0.983
245673,9,1530659220,           2018-07-03 23:07:00,           2018-07-03 17:07:00,3.47,6.71,7.967477,101.585101,0.983
245673,9,1530661020,           2018-07-03 23:37:00,           2018-07-03 17:37:00,3.47,6.691,7.962477,101.472361,0.984
245673,9,1530662820,           2018-07-04 00:07:00,           2018-07-03 18:07:00,3.47,6.575,7.948478,100.995525,0.984
245673,9,1530664620,           2018-07-04 00:37:00,           2018-07-03 18:37:00,3.47,6.536,7.896481,100.235227,0.983
245673,9,1530666420,           2018-07-04 01:07:00,           2018-07-03 19:07:00,3.47,6.623,7.888482,100.355722,0.983
245673,9,1530668220,           2018-07-04 01:37:00,           2018-07-03 19:37:00,3.47,6.594,7.887482,100.26898,0.983
245673,9,1530670020,           2018-07-04 02:07:00,           2018-07-03 20:07:00,3.47,6.72,7.961478,101.534393,0.983
245673,9,1530671820,           2018-07-04 02:37:00,           2018-07-03 20:37:00,3.46,6.671,7.92348,100.924072,0.983
245673,9,1530673620,           2018-07-04 03:07:00,           2018-07-03 21:07:00,3.46,6.7,7.962477,101.495568,0.984
245673,9,1530675420,           2018-07-04 03:37:00,           2018-07-03 21:37:00,3.46,6.768,7.979477,101.888021,0.983
245673,9,1530677220,           2018-07-04 04:07:00,           2018-07-03 22:07:00,3.46,6.643,7.940479,101.068615,0.984
245673,9,1530679020,           2018-07-04 04:37:00,           2018-07-03 22:37:00,3.46,6.585,7.870483,100.029965,0.983
245673,9,1530680820,           2018-07-04 05:07:00,           2018-07-03 23:07:00,3.46,6.7,7.92448,101.011224,0.984
245673,9,1530682620,           2018-07-04 05:37:00,           2018-07-03 23:37:00,3.46,6.652,7.929479,100.951715,0.984
245673,9,1530684420,           2018-07-04 06:07:00,           2018-07-04 00:07:00,3.46,6.7,7.941479,101.227904,0.983
245673,9,1530686220,           2018-07-04 06:37:00,           2018-07-04 00:37:00,3.45,6.749,7.944479,101.392236,0.984
245673,9,1530688020,           2018-07-04 07:07:00,           2018-07-04 01:07:00,3.45,6.787,7.981477,101.962699,0.984
245673,9,1530689820,           2018-07-04 07:37:00,           2018-07-04 01:37:00,3.45,6.768,7.969477,101.760341,0.983
245673,9,1530691620,           2018-07-04 08:07:00,           2018-07-04 02:07:00,3.45,6.604,7.956477,101.171826,0.983
245673,9,1530693420,           2018-07-04 08:37:00,           2018-07-04 02:37:00,3.45,6.585,7.834485,99.572452,0.983
245673,9,1530695220,           2018-07-04 09:07:00,           2018-07-04 03:07:00,3.45,6.594,7.864483,99.976614,0.984
245673,9,1530697020,           2018-07-04 09:37:00,           2018-07-04 03:37:00,3.45,6.671,7.860484,100.121672,0.983
245673,9,1530698820,           2018-07-04 10:07:00,           2018-07-04 04:07:00,3.45,6.652,7.903481,100.620726,0.984
245673,9,1530700620,           2018-07-04 10:37:00,           2018-07-04 04:37:00,3.45,6.671,7.898482,100.60566,0.983
245673,9,1530702420,           2018-07-04 11:07:00,           2018-07-04 05:07:00,3.45,6.681,7.899481,100.643974,0.984
245673,9,1530704220,           2018-07-04 11:37:00,           2018-07-04 05:37:00,3.44,6.671,7.871483,100.261774,0.984
245673,9,1530706020,           2018-07-04 12:07:00,           2018-07-04 06:07:00,3.45,6.623,7.871483,100.139466,0.983
245673,9,1530707820,           2018-07-04 12:37:00,           2018-07-04 06:37:00,3.44,6.614,7.827486,99.556944,0.983
245673,9,1530709620,           2018-07-04 13:07:00,           2018-07-04 07:07:00,3.44,6.671,7.886482,100.452821,0.983
245673,9,1530711420,           2018-07-04 13:37:00,           2018-07-04 07:37:00,3.44,6.691,7.888482,100.52938,0.983
245673,9,1530713220,           2018-07-04 14:07:00,           2018-07-04 08:07:00,3.44,6.729,7.891482,100.664733,0.984
245673,9,1530715020,           2018-07-04 14:37:00,           2018-07-04 08:37:00,3.44,6.556,7.852484,99.727539,0.984
245673,9,1530716820,           2018-07-04 15:07:00,           2018-07-04 09:07:00,3.44,6.633,7.848485,99.872286,0.984
245673,9,1530718620,           2018-07-04 15:37:00,           2018-07-04 09:37:00,3.44,6.652,7.863484,100.111512,0.984
245673,9,1530720420,           2018-07-04 16:07:00,           2018-07-04 10:07:00,3.44,6.778,7.899482,100.892185,0.984
245673,9,1530722220,           2018-07-04 16:37:00,           2018-07-04 10:37:00,3.44,6.662,7.831486,99.729494,0.983
245673,9,1530724020,           2018-07-04 17:07:00,           2018-07-04 11:07:00,3.44,6.546,7.771489,98.673759,0.982
245673,9,1530725820,           2018-07-04 17:37:00,           2018-07-04 11:37:00,3.43,6.546,7.799487,99.029249,0.983
245673,9,1530727620,           2018-07-04 18:07:00,           2018-07-04 12:07:00,3.43,6.623,7.831486,99.630627,0.982
245673,9,1530729420,           2018-07-04 18:37:00,           2018-07-04 12:37:00,3.43,6.662,7.877483,100.315239,0.983
245673,9,1530731220,           2018-07-04 19:07:00,           2018-07-04 13:07:00,3.43,6.633,7.886482,100.355806,0.983
245673,9,1530733020,           2018-07-04 19:37:00,           2018-07-04 13:37:00,3.43,6.652,7.892482,100.480692,0.983
245673,9,1530734820,           2018-07-04 20:07:00,           2018-07-04 14:07:00,3.43,6.71,7.899482,100.71816,0.983
245673,9,1530736620,           2018-07-04 20:37:00,           2018-07-04 14:37:00,3.43,6.681,7.893482,100.567535,0.983
245673,9,1530738420,           2018-07-04 21:07:00,           2018-07-04 15:07:00,3.43,6.739,7.92048,101.060294,0.983
245673,9,1530740220,           2018-07-04 21:37:00,           2018-07-04 15:37:00,3.43,6.749,7.953478,101.507092,0.983
245673,9,1530742020,           2018-07-04 22:07:00,           2018-07-04 16:07:00,3.43,6.912,7.989477,102.388714,0.984
245673,9,1530743820,           2018-07-04 22:37:00,           2018-07-04 16:37:00,3.43,6.594,7.91248,100.58677,0.982
245673,9,1530745620,           2018-07-04 23:07:00,           2018-07-04 17:07:00,3.42,6.478,7.811486,99.009844,0.984
245673,9,1530747420,           2018-07-04 23:37:00,           2018-07-04 17:37:00,3.43,6.594,7.841485,99.684248,0.984
245673,9,1530749220,           2018-07-05 00:07:00,           2018-07-04 18:07:00,3.43,6.797,7.93748,101.426365,0.983
245673,9,1530751020,           2018-07-05 00:37:00,           2018-07-04 18:37:00,3.43,6.739,7.92648,101.136845,0.983
245673,9,1530752820,           2018-07-05 01:07:00,           2018-07-04 19:07:00,3.43,6.623,7.846485,99.821442,0.983
245673,9,1530754620,           2018-07-05 01:37:00,           2018-07-04 19:37:00,3.43,6.594,7.835485,99.607978,0.983
245673,9,1530756420,           2018-07-05 02:07:00,           2018-07-04 20:07:00,3.43,6.614,7.842485,99.747715,0.983
245673,9,1530758220,           2018-07-05 02:37:00,           2018-07-04 20:37:00,3.43,6.71,7.859484,100.208195,0.983
245673,9,1530760020,           2018-07-05 03:07:00,           2018-07-04 21:07:00,3.43,6.739,7.901482,100.817882,0.983
245673,9,1530761820,           2018-07-05 03:37:00,           2018-07-04 21:37:00,3.43,6.797,7.92948,101.324146,0.982
245673,9,1530763620,           2018-07-05 04:07:00,           2018-07-04 22:07:00,3.43,6.585,7.843485,99.68683,0.983
245673,9,1530765420,           2018-07-05 04:37:00,           2018-07-04 22:37:00,3.43,6.546,7.809487,99.156209,0.983
245673,9,1530767220,           2018-07-05 05:07:00,           2018-07-04 23:07:00,3.42,6.72,7.864484,100.297413,0.983
245673,9,1530769020,           2018-07-05 05:37:00,           2018-07-04 23:37:00,3.42,6.594,7.822486,99.442727,0.983
245673,9,1530770820,           2018-07-05 06:07:00,           2018-07-05 00:07:00,3.42,6.594,7.808487,99.264765,0.983
245673,9,1530772620,           2018-07-05 06:37:00,           2018-07-05 00:37:00,3.42,6.671,7.822487,99.637685,0.983
245673,9,1530774420,           2018-07-05 07:07:00,           2018-07-05 01:07:00,3.42,6.72,7.845485,100.055118,0.984
245673,9,1530776220,           2018-07-05 07:37:00,           2018-07-05 01:37:00,3.42,6.7,7.849485,100.055282,0.983
245673,9,1530778020,           2018-07-05 08:07:00,           2018-07-05 02:07:00,3.42,6.758,7.886483,100.67505,0.984
245673,9,1530779820,           2018-07-05 08:37:00,           2018-07-05 02:37:00,3.42,6.72,7.862484,100.271908,0.983
245673,9,1530781620,           2018-07-05 09:07:00,           2018-07-05 03:07:00,3.42,6.468,7.75249,98.237014,0.984
245673,9,1530783420,           2018-07-05 09:37:00,           2018-07-05 03:37:00,3.42,6.643,7.777489,98.994042,0.983
245673,9,1530785220,           2018-07-05 10:07:00,           2018-07-05 04:07:00,3.42,6.691,7.836486,99.866745,0.983
245673,9,1530787020,           2018-07-05 10:37:00,           2018-07-05 04:37:00,3.43,6.72,7.852485,100.144385,0.983
245673,9,1530788820,           2018-07-05 11:07:00,           2018-07-05 05:07:00,3.42,6.778,7.843486,100.177,0.983
245673,9,1530790620,           2018-07-05 11:37:00,           2018-07-05 05:37:00,3.42,6.662,7.807487,99.423888,0.983
245673,9,1530792420,           2018-07-05 12:07:00,           2018-07-05 06:07:00,3.43,6.556,7.724492,98.10203,0.984
