sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,Sensor,Gain
240115,9,1530641520,           2018-07-03 18:12:00,           2018-07-03 12:12:00,3.03,10.331,48.37981,10
240115,9,1530643320,           2018-07-03 18:42:00,           2018-07-03 12:42:00,3.04,7.357,43.23897,10
240115,9,1530645120,           2018-07-03 19:12:00,           2018-07-03 13:12:00,3.04,6.807,44.75221,10
240115,9,1530646920,           2018-07-03 19:42:00,           2018-07-03 13:42:00,3.04,6.622,46.20787,10
240115,9,1530648720,           2018-07-03 20:12:00,           2018-07-03 14:12:00,3.04,6.632,45.37975,10
240115,9,1530650520,           2018-07-03 20:42:00,           2018-07-03 14:42:00,3.04,6.583,43.59718,10
240115,9,1530652320,           2018-07-03 21:12:00,           2018-07-03 15:12:00,3.05,6.641,41.06354,10
240115,9,1530654120,           2018-07-03 21:42:00,           2018-07-03 15:42:00,3.05,6.622,43.32253,10
240115,9,1530655920,           2018-07-03 22:12:00,           2018-07-03 16:12:00,3.05,6.573,40.08304,10
240115,9,1530657720,           2018-07-03 22:42:00,           2018-07-03 16:42:00,3.05,6.661,40.52809,10
240115,9,1530659520,           2018-07-03 23:12:00,           2018-07-03 17:12:00,3.05,6.661,39.7764,10
240115,9,1530661320,           2018-07-03 23:42:00,           2018-07-03 17:42:00,3.05,6.622,43.81327,10
240115,9,1530663120,           2018-07-04 00:12:00,           2018-07-03 18:12:00,3.05,6.612,43.20397,10
240115,9,1530664920,           2018-07-04 00:42:00,           2018-07-03 18:42:00,3.05,6.524,43.27041,10
240115,9,1530666720,           2018-07-04 01:12:00,           2018-07-03 19:12:00,3.05,6.573,41.61807,10
240115,9,1530668520,           2018-07-04 01:42:00,           2018-07-03 19:42:00,3.05,6.544,40.89174,10
240115,9,1530670320,           2018-07-04 02:12:00,           2018-07-03 20:12:00,3.05,6.651,40.3034,10
240115,9,1530672120,           2018-07-04 02:42:00,           2018-07-03 20:42:00,3.05,6.602,40.70646,10
240115,9,1530673920,           2018-07-04 03:12:00,           2018-07-03 21:12:00,3.05,6.641,39.03358,10
240115,9,1530675720,           2018-07-04 03:42:00,           2018-07-03 21:42:00,3.05,6.69,39.23563,10
240115,9,1530677520,           2018-07-04 04:12:00,           2018-07-03 22:12:00,3.05,6.524,42.39492,10
240115,9,1530679320,           2018-07-04 04:42:00,           2018-07-03 22:42:00,3.05,6.505,44.54128,10
240115,9,1530681120,           2018-07-04 05:12:00,           2018-07-03 23:12:00,3.05,6.602,43.47938,10
240115,9,1530682920,           2018-07-04 05:42:00,           2018-07-03 23:42:00,3.05,6.632,42.04049,10
240115,9,1530684720,           2018-07-04 06:12:00,           2018-07-04 00:12:00,3.05,6.622,40.85786,10
240115,9,1530686520,           2018-07-04 06:42:00,           2018-07-04 00:42:00,3.06,6.68,41.49644,10
240115,9,1530688320,           2018-07-04 07:12:00,           2018-07-04 01:12:00,3.06,6.768,40.32135,10
240115,9,1530690120,           2018-07-04 07:42:00,           2018-07-04 01:42:00,3.05,6.748,44.31967,10
240115,9,1530691920,           2018-07-04 08:12:00,           2018-07-04 02:12:00,3.06,6.661,45.5018,10
240115,9,1530693720,           2018-07-04 08:42:00,           2018-07-04 02:42:00,3.05,6.524,42.71721,10
240115,9,1530695520,           2018-07-04 09:12:00,           2018-07-04 03:12:00,3.06,6.573,42.998,10
240115,9,1530697320,           2018-07-04 09:42:00,           2018-07-04 03:42:00,3.06,6.573,40.79651,10
240115,9,1530699120,           2018-07-04 10:12:00,           2018-07-04 04:12:00,3.06,6.602,40.64218,10
240115,9,1530700920,           2018-07-04 10:42:00,           2018-07-04 04:42:00,3.06,6.632,43.72371,10
240115,9,1530702720,           2018-07-04 11:12:00,           2018-07-04 05:12:00,3.06,6.612,43.23758,10
240115,9,1530704520,           2018-07-04 11:42:00,           2018-07-04 05:42:00,3.07,6.563,44.07178,10
240115,9,1530706320,           2018-07-04 12:12:00,           2018-07-04 06:12:00,3.06,6.554,44.86951,10
240115,9,1530708120,           2018-07-04 12:42:00,           2018-07-04 06:42:00,3.06,6.554,41.99367,10
240115,9,1530709920,           2018-07-04 13:12:00,           2018-07-04 07:12:00,3.06,6.593,42.08967,10
240115,9,1530711720,           2018-07-04 13:42:00,           2018-07-04 07:42:00,3.06,6.671,41.12118,10
240115,9,1530713520,           2018-07-04 14:12:00,           2018-07-04 08:12:00,3.06,6.632,42.08073,10
240115,9,1530715320,           2018-07-04 14:42:00,           2018-07-04 08:42:00,3.06,6.622,44.29046,10
240115,9,1530717120,           2018-07-04 15:12:00,           2018-07-04 09:12:00,3.06,6.602,44.41853,10
240115,9,1530718920,           2018-07-04 15:42:00,           2018-07-04 09:42:00,3.06,6.612,44.41629,10
240115,9,1530720720,           2018-07-04 16:12:00,           2018-07-04 10:12:00,3.06,6.729,43.42817,10
240115,9,1530722520,           2018-07-04 16:42:00,           2018-07-04 10:42:00,3.06,6.651,45.71594,10
240115,9,1530724320,           2018-07-04 17:12:00,           2018-07-04 11:12:00,3.08,6.573,47.81913,10
240115,9,1530726120,           2018-07-04 17:42:00,           2018-07-04 11:42:00,3.06,6.573,47.45771,10
240115,9,1530727920,           2018-07-04 18:12:00,           2018-07-04 12:12:00,3.06,6.593,46.22827,10
240115,9,1530729720,           2018-07-04 18:42:00,           2018-07-04 12:42:00,3.06,6.612,46.83353,10
240115,9,1530731520,           2018-07-04 19:12:00,           2018-07-04 13:12:00,3.06,6.632,45.3314,10
240115,9,1530733320,           2018-07-04 19:42:00,           2018-07-04 13:42:00,3.06,6.632,43.02637,10
240115,9,1530735120,           2018-07-04 20:12:00,           2018-07-04 14:12:00,3.06,6.671,44.39191,10
240115,9,1530736920,           2018-07-04 20:42:00,           2018-07-04 14:42:00,3.06,6.612,43.61436,10
240115,9,1530738720,           2018-07-04 21:12:00,           2018-07-04 15:12:00,3.06,6.7,43.61346,10
240115,9,1530740520,           2018-07-04 21:42:00,           2018-07-04 15:42:00,3.06,6.729,41.90634,10
240115,9,1530742320,           2018-07-04 22:12:00,           2018-07-04 16:12:00,3.06,6.797,35.60342,10
240115,9,1530744120,           2018-07-04 22:42:00,           2018-07-04 16:42:00,3.06,6.855,41.65559,10
240115,9,1530745920,           2018-07-04 23:12:00,           2018-07-04 17:12:00,3.06,6.446,47.40929,10
240115,9,1530747720,           2018-07-04 23:42:00,           2018-07-04 17:42:00,3.06,6.515,44.39337,10
240115,9,1530749520,           2018-07-05 00:12:00,           2018-07-04 18:12:00,3.06,6.7,33.6,10
240115,9,1530751320,           2018-07-05 00:42:00,           2018-07-04 18:42:00,3.06,6.71,37.99655,10
240115,9,1530753120,           2018-07-05 01:12:00,           2018-07-04 19:12:00,3.06,6.612,42.30199,10
240115,9,1530754920,           2018-07-05 01:42:00,           2018-07-04 19:42:00,3.06,6.544,42.27216,10
240115,9,1530756720,           2018-07-05 02:12:00,           2018-07-04 20:12:00,3.06,6.593,37.622,10
240115,9,1530758520,           2018-07-05 02:42:00,           2018-07-04 20:42:00,3.06,6.651,37.02275,10
240115,9,1530760320,           2018-07-05 03:12:00,           2018-07-04 21:12:00,3.06,6.68,36.88407,10
240115,9,1530762120,           2018-07-05 03:42:00,           2018-07-04 21:42:00,3.06,6.748,35.42156,10
240115,9,1530763920,           2018-07-05 04:12:00,           2018-07-04 22:12:00,3.06,6.661,45.21326,10
240115,9,1530765720,           2018-07-05 04:42:00,           2018-07-04 22:42:00,3.06,6.583,43.14486,10
240115,9,1530767520,           2018-07-05 05:12:00,           2018-07-04 23:12:00,3.06,6.554,36.01444,10
240115,9,1530769320,           2018-07-05 05:42:00,           2018-07-04 23:42:00,3.06,6.573,41.10421,10
240115,9,1530771120,           2018-07-05 06:12:00,           2018-07-05 00:12:00,3.06,6.554,40.70233,10
240115,9,1530772920,           2018-07-05 06:42:00,           2018-07-05 00:42:00,3.09,6.622,38.10114,10
240115,9,1530774720,           2018-07-05 07:12:00,           2018-07-05 01:12:00,3.06,6.661,41.89747,10
240115,9,1530776520,           2018-07-05 07:42:00,           2018-07-05 01:42:00,3.06,6.641,38.61214,10
240115,9,1530778320,           2018-07-05 08:12:00,           2018-07-05 02:12:00,3.06,6.7,38.40834,10
240115,9,1530780120,           2018-07-05 08:42:00,           2018-07-05 02:42:00,3.06,6.68,40.25414,10
240115,9,1530781920,           2018-07-05 09:12:00,           2018-07-05 03:12:00,3.06,6.495,47.10901,10
240115,9,1530783720,           2018-07-05 09:42:00,           2018-07-05 03:42:00,3.06,6.622,39.58664,10
240115,9,1530785520,           2018-07-05 10:12:00,           2018-07-05 04:12:00,3.06,6.651,39.31514,10
240115,9,1530787320,           2018-07-05 10:42:00,           2018-07-05 04:42:00,3.06,6.7,38.98006,10
240115,9,1530789120,           2018-07-05 11:12:00,           2018-07-05 05:12:00,3.06,6.71,42.5816,10
240115,9,1530790920,           2018-07-05 11:42:00,           2018-07-05 05:42:00,3.06,6.602,42.75082,10
240115,9,1530792720,           2018-07-05 12:12:00,           2018-07-05 06:12:00,3.06,6.524,37.91215,10
240115,9,1530794520,           2018-07-05 12:42:00,           2018-07-05 06:42:00,3.06,6.534,40.02386,10
240115,9,1530796320,           2018-07-05 13:12:00,           2018-07-05 07:12:00,3.06,6.563,42.67306,10
240115,9,1530798120,           2018-07-05 13:42:00,           2018-07-05 07:42:00,3.06,6.661,39.35119,10
240115,9,1530799920,           2018-07-05 14:12:00,           2018-07-05 08:12:00,3.06,6.661,41.93771,10
240115,9,1530801720,           2018-07-05 14:42:00,           2018-07-05 08:42:00,3.06,6.7,40.17359,10
240115,9,1530803520,           2018-07-05 15:12:00,           2018-07-05 09:12:00,3.06,6.651,44.28166,10
240115,9,1530805320,           2018-07-05 15:42:00,           2018-07-05 09:42:00,3.06,6.593,44.61157,10
240115,9,1530807120,           2018-07-05 16:12:00,           2018-07-05 10:12:00,3.06,6.583,45.14465,10
240115,9,1530808920,           2018-07-05 16:42:00,           2018-07-05 10:42:00,3.06,6.612,44.24239,10
240115,9,1530810720,           2018-07-05 17:12:00,           2018-07-05 11:12:00,3.06,6.593,46.20815,10
240115,9,1530812520,           2018-07-05 17:42:00,           2018-07-05 11:42:00,3.06,6.612,43.80524,10
240115,9,1530814320,           2018-07-05 18:12:00,           2018-07-05 12:12:00,3.06,6.661,45.55267,10
240115,9,1530816120,           2018-07-05 18:42:00,           2018-07-05 12:42:00,3.06,6.573,46.14255,10
240115,9,1530817920,           2018-07-05 19:12:00,           2018-07-05 13:12:00,3.06,6.641,45.40658,10
240115,9,1530819720,           2018-07-05 19:42:00,           2018-07-05 13:42:00,3.06,6.583,45.99317,10
240115,9,1530821520,           2018-07-05 20:12:00,           2018-07-05 14:12:00,3.06,6.583,43.73866,10
240115,9,1530823320,           2018-07-05 20:42:00,           2018-07-05 14:42:00,3.06,6.593,43.39939,10
240115,9,1530825120,           2018-07-05 21:12:00,           2018-07-05 15:12:00,3.06,6.641,46.96886,10
240115,9,1530826920,           2018-07-05 21:42:00,           2018-07-05 15:42:00,3.06,6.544,50.63705,10
240115,9,1530828720,           2018-07-05 22:12:00,           2018-07-05 16:12:00,3.06,6.554,50.71907,10
240115,9,1530830520,           2018-07-05 22:42:00,           2018-07-05 16:42:00,3.06,6.68,44.14039,10
240115,9,1530832320,           2018-07-05 23:12:00,           2018-07-05 17:12:00,3.06,6.612,42.91284,10
240115,9,1530834120,           2018-07-05 23:42:00,           2018-07-05 17:42:00,3.06,6.71,40.16408,10
240115,9,1530835920,           2018-07-06 00:12:00,           2018-07-05 18:12:00,3.06,6.612,45.7638,10
240115,9,1530837720,           2018-07-06 00:42:00,           2018-07-05 18:42:00,3.06,6.583,43.43879,10
240115,9,1530839520,           2018-07-06 01:12:00,           2018-07-05 19:12:00,3.06,6.505,42.22912,10
240115,9,1530841320,           2018-07-06 01:42:00,           2018-07-05 19:42:00,3.06,6.651,38.45816,10
240115,9,1530843120,           2018-07-06 02:12:00,           2018-07-05 20:12:00,3.06,6.622,43.29137,10
240115,9,1530844920,           2018-07-06 02:42:00,           2018-07-05 20:42:00,3.06,6.641,34.83035,10
240115,9,1530846720,           2018-07-06 03:12:00,           2018-07-05 21:12:00,3.07,6.622,46.30506,10
240115,9,1530848520,           2018-07-06 03:42:00,           2018-07-05 21:42:00,3.06,6.583,41.69912,10
240115,9,1530850320,           2018-07-06 04:12:00,           2018-07-05 22:12:00,3.06,6.593,38.45599,10
240115,9,1530852120,           2018-07-06 04:42:00,           2018-07-05 22:42:00,3.06,6.671,39.61116,10
