 Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1530635820,           2018-07-03 16:37:00,           2018-07-03 10:37:00,      3.500000,     29.628000,          4.966727,                   103.666888,      1.019000
                1530637620,           2018-07-03 17:07:00,           2018-07-03 11:07:00,      3.500000,     24.781000,          5.382694,                   102.389910,      1.004000
                1530639420,           2018-07-03 17:37:00,           2018-07-03 11:37:00,      3.500000,     24.605000,          5.240702,                    99.345679,      0.996000
                1530641220,           2018-07-03 18:07:00,           2018-07-03 12:07:00,      3.500000,      8.350000,          7.996483,                   106.230537,      1.006000
                1530643020,           2018-07-03 18:37:00,           2018-07-03 12:37:00,      3.500000,      8.425000,          7.981484,                   106.227785,      1.006000
                1530644820,           2018-07-03 19:07:00,           2018-07-03 13:07:00,      3.500000,      8.322000,          8.025481,                   106.542031,      1.008000
                1530646620,           2018-07-03 19:37:00,           2018-07-03 13:37:00,      3.500000,      8.388000,          8.034480,                   106.835531,      1.008000
                1530648420,           2018-07-03 20:07:00,           2018-07-03 14:07:00,      3.490000,      8.407000,          8.023481,                   106.739319,      1.007000
                1530650220,           2018-07-03 20:37:00,           2018-07-03 14:37:00,      3.490000,      8.378000,          8.076478,                   107.367462,      1.008000
                1530652020,           2018-07-03 21:07:00,           2018-07-03 15:07:00,      3.490000,      8.435000,          8.078478,                   107.545229,      1.008000
                1530653820,           2018-07-03 21:37:00,           2018-07-03 15:37:00,      3.490000,      8.388000,          8.050479,                   107.048271,      1.008000
                1530655620,           2018-07-03 22:07:00,           2018-07-03 16:07:00,      3.490000,      8.322000,          8.067478,                   107.099565,      1.007000
                1530657420,           2018-07-03 22:37:00,           2018-07-03 16:37:00,      3.480000,      8.435000,          8.052479,                   107.199125,      1.008000
                1530659220,           2018-07-03 23:07:00,           2018-07-03 17:07:00,      3.480000,      8.453000,          8.041480,                   107.100233,      1.008000
                1530661020,           2018-07-03 23:37:00,           2018-07-03 17:37:00,      3.480000,      8.416000,          8.100476,                   107.787548,      1.007000
                1530662820,           2018-07-04 00:07:00,           2018-07-03 18:07:00,      3.480000,      8.425000,          8.075478,                   107.478776,      1.006000
                1530664620,           2018-07-04 00:37:00,           2018-07-03 18:37:00,      3.480000,      8.435000,          8.095477,                   107.771528,      1.008000
                1530666420,           2018-07-04 01:07:00,           2018-07-03 19:07:00,      3.480000,      8.444000,          8.104476,                   107.915287,      1.008000
                1530668220,           2018-07-04 01:37:00,           2018-07-03 19:37:00,      3.480000,      8.388000,          8.093477,                   107.620011,      1.007000
                1530670020,           2018-07-04 02:07:00,           2018-07-03 20:07:00,      3.480000,      8.313000,          8.093476,                   107.420807,      1.007000
                1530671820,           2018-07-04 02:37:00,           2018-07-03 20:37:00,      3.470000,      8.294000,          8.060478,                   106.932601,      1.006000
                1530673620,           2018-07-04 03:07:00,           2018-07-03 21:07:00,      3.470000,      8.285000,          8.037480,                   106.603769,      1.006000
                1530675420,           2018-07-04 03:37:00,           2018-07-03 21:37:00,      3.470000,      8.294000,          8.065478,                   106.998928,      1.007000
                1530677220,           2018-07-04 04:07:00,           2018-07-03 22:07:00,      3.470000,      8.331000,          8.041480,                   106.778171,      1.007000
                1530679020,           2018-07-04 04:37:00,           2018-07-03 22:37:00,      3.470000,      8.331000,          8.028481,                   106.605563,      1.007000
                1530680820,           2018-07-04 05:07:00,           2018-07-03 23:07:00,      3.470000,      8.303000,          8.027481,                   106.518542,      1.008000
                1530682620,           2018-07-04 05:37:00,           2018-07-03 23:37:00,      3.470000,      8.275000,          8.033480,                   106.524370,      1.007000
                1530684420,           2018-07-04 06:07:00,           2018-07-04 00:07:00,      3.470000,      8.266000,          8.049479,                   106.712757,      1.007000
                1530686220,           2018-07-04 06:37:00,           2018-07-04 00:37:00,      3.470000,      8.219000,          8.029480,                   106.323890,      1.007000
                1530688020,           2018-07-04 07:07:00,           2018-07-04 01:07:00,      3.470000,      8.228000,          8.002482,                   105.990000,      1.007000
                1530689820,           2018-07-04 07:37:00,           2018-07-04 01:37:00,      3.460000,      8.191000,          8.013481,                   106.038486,      1.007000
                1530691620,           2018-07-04 08:07:00,           2018-07-04 02:07:00,      3.460000,      8.200000,          7.968484,                   105.466569,      1.007000
                1530693420,           2018-07-04 08:37:00,           2018-07-04 02:37:00,      3.460000,      8.200000,          7.951485,                   105.241580,      1.007000
                1530695220,           2018-07-04 09:07:00,           2018-07-04 03:07:00,      3.460000,      8.191000,          7.966484,                   105.416599,      1.008000
                1530697020,           2018-07-04 09:37:00,           2018-07-04 03:37:00,      3.460000,      8.162000,          7.964484,                   105.314441,      1.008000
                1530698820,           2018-07-04 10:07:00,           2018-07-04 04:07:00,      3.460000,      8.125000,          7.985482,                   105.495302,      1.008000
                1530700620,           2018-07-04 10:37:00,           2018-07-04 04:37:00,      3.460000,      8.106000,          7.965484,                   105.181526,      1.007000
                1530702420,           2018-07-04 11:07:00,           2018-07-04 05:07:00,      3.460000,      8.087000,          7.914487,                   104.458881,      1.007000
