            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1530635820,           2018-07-03 16:37:00,           2018-07-03 10:37:00,      3.490000,     23.114000,          5.587679,                   102.846068,      0.995000
                1530637620,           2018-07-03 17:07:00,           2018-07-03 11:07:00,      3.500000,     30.168000,          5.022725,                   105.902469,      1.014000
                1530639420,           2018-07-03 17:37:00,           2018-07-03 11:37:00,      3.500000,     26.763000,          5.243706,                   103.653960,      1.000000
                1530641220,           2018-07-03 18:07:00,           2018-07-03 12:07:00,      3.500000,      7.483000,          7.960481,                   103.495121,      0.990000
                1530643020,           2018-07-03 18:37:00,           2018-07-03 12:37:00,      3.490000,      6.319000,          7.822485,                    98.747462,      0.998000
                1530644820,           2018-07-03 19:07:00,           2018-07-03 13:07:00,      3.490000,      6.221000,          7.828484,                    98.575625,      0.999000
                1530646620,           2018-07-03 19:37:00,           2018-07-03 13:37:00,      3.490000,      6.143000,          7.814485,                    98.202797,      1.000000
                1530648420,           2018-07-03 20:07:00,           2018-07-03 14:07:00,      3.480000,      6.046000,          7.670494,                    96.153552,      1.000000
                1530650220,           2018-07-03 20:37:00,           2018-07-03 14:37:00,      3.480000,      5.958000,          7.582499,                    94.835656,      1.000000
                1530652020,           2018-07-03 21:07:00,           2018-07-03 15:07:00,      3.480000,      5.948000,          7.591498,                    94.923781,      1.001000
                1530653820,           2018-07-03 21:37:00,           2018-07-03 15:37:00,      3.480000,      5.977000,          7.575500,                    94.794442,      1.000000
                1530655620,           2018-07-03 22:07:00,           2018-07-03 16:07:00,      3.480000,      6.055000,          7.635496,                    95.736973,      1.000000
                1530657420,           2018-07-03 22:37:00,           2018-07-03 16:37:00,      3.480000,      6.065000,          7.714491,                    96.752294,      1.000000
                1530659220,           2018-07-03 23:07:00,           2018-07-03 17:07:00,      3.470000,      6.094000,          7.717491,                    96.862024,      1.000000
                1530661020,           2018-07-03 23:37:00,           2018-07-03 17:37:00,      3.470000,      6.065000,          7.764488,                    97.379334,      1.000000
                1530662820,           2018-07-04 00:07:00,           2018-07-03 18:07:00,      3.470000,      6.065000,          7.740489,                    97.078354,      1.001000
                1530664620,           2018-07-04 00:37:00,           2018-07-03 18:37:00,      3.470000,      6.104000,          7.741489,                    97.188174,      1.000000
                1530666420,           2018-07-04 01:07:00,           2018-07-03 19:07:00,      3.470000,      5.967000,          7.602498,                    95.107807,      1.000000
                1530668220,           2018-07-04 01:37:00,           2018-07-03 19:37:00,      3.470000,      6.143000,          7.706492,                    96.845676,      1.000000
                1530670020,           2018-07-04 02:07:00,           2018-07-03 20:07:00,      3.470000,      6.357000,          7.869482,                    99.437285,      0.999000
                1530671820,           2018-07-04 02:37:00,           2018-07-03 20:37:00,      3.460000,      6.357000,          7.883481,                    99.614174,      1.000000
                1530673620,           2018-07-04 03:07:00,           2018-07-03 21:07:00,      3.460000,      6.319000,          7.806486,                    98.545499,      0.999000
                1530675420,           2018-07-04 03:37:00,           2018-07-03 21:37:00,      3.460000,      6.221000,          7.730491,                    97.341698,      0.999000
                1530677220,           2018-07-04 04:07:00,           2018-07-03 22:07:00,      3.460000,      6.065000,          7.653495,                    95.987305,      1.000000
                1530679020,           2018-07-04 04:37:00,           2018-07-03 22:37:00,      3.460000,      6.065000,          7.570500,                    94.946418,      1.000000
                1530680820,           2018-07-04 05:07:00,           2018-07-03 23:07:00,      3.460000,      6.114000,          7.621497,                    95.706331,      0.999000
                1530682620,           2018-07-04 05:37:00,           2018-07-03 23:37:00,      3.460000,      6.202000,          7.753489,                    97.583777,      0.999000
                1530684420,           2018-07-04 06:07:00,           2018-07-04 00:07:00,      3.450000,      6.348000,          7.826485,                    98.871234,      0.999000
                1530686220,           2018-07-04 06:37:00,           2018-07-04 00:37:00,      3.450000,      6.134000,          7.673494,                    96.408739,      1.000000
                1530688020,           2018-07-04 07:07:00,           2018-07-04 01:07:00,      3.450000,      6.114000,          7.658495,                    96.170925,      0.999000
                1530689820,           2018-07-04 07:37:00,           2018-07-04 01:37:00,      3.450000,      6.134000,          7.648496,                    96.094663,      0.999000
                1530691620,           2018-07-04 08:07:00,           2018-07-04 02:07:00,      3.450000,      6.173000,          7.674494,                    96.517794,      0.999000
                1530693420,           2018-07-04 08:37:00,           2018-07-04 02:37:00,      3.450000,      6.202000,          7.691493,                    96.803509,      1.000000
                1530695220,           2018-07-04 09:07:00,           2018-07-04 03:07:00,      3.450000,      6.231000,          7.690493,                    96.862863,      0.999000
                1530697020,           2018-07-04 09:37:00,           2018-07-04 03:37:00,      3.450000,      6.212000,          7.731490,                    97.331844,      0.999000
                1530698820,           2018-07-04 10:07:00,           2018-07-04 04:07:00,      3.450000,      6.241000,          7.656495,                    96.459357,      1.000000
                1530700620,           2018-07-04 10:37:00,           2018-07-04 04:37:00,      3.450000,      6.202000,          7.605499,                    95.721203,      1.000000
                1530702420,           2018-07-04 11:07:00,           2018-07-04 05:07:00,      3.440000,      6.260000,          7.643496,                    96.342446,      1.000000
                1530704220,           2018-07-04 11:37:00,           2018-07-04 05:37:00,      3.440000,      6.270000,          7.650496,                    96.455359,      1.000000
                1530706020,           2018-07-04 12:07:00,           2018-07-04 06:07:00,      3.440000,      6.173000,          7.566501,                    95.159628,      1.000000
                1530707820,           2018-07-04 12:37:00,           2018-07-04 06:37:00,      3.440000,      6.173000,          7.546502,                    94.908116,      0.999000
                1530709620,           2018-07-04 13:07:00,           2018-07-04 07:07:00,      3.440000,      6.173000,          7.627497,                    95.926740,      1.000000
                1530711420,           2018-07-04 13:37:00,           2018-07-04 07:37:00,      3.440000,      6.182000,          7.653495,                    96.275917,      1.000000
                1530713220,           2018-07-04 14:07:00,           2018-07-04 08:07:00,      3.440000,      6.173000,          7.662495,                    96.366887,      0.999000
                1530715020,           2018-07-04 14:37:00,           2018-07-04 08:37:00,      3.440000,      6.250000,          7.674494,                    96.708397,      1.000000
                1530716820,           2018-07-04 15:07:00,           2018-07-04 09:07:00,      3.440000,      6.182000,          7.580500,                    95.357686,      0.999000
                1530718620,           2018-07-04 15:37:00,           2018-07-04 09:37:00,      3.440000,      6.221000,          7.628497,                    96.057407,      0.999000
                1530720420,           2018-07-04 16:07:00,           2018-07-04 10:07:00,      3.430000,      6.192000,          7.554502,                    95.055006,      0.999000
                1530722220,           2018-07-04 16:37:00,           2018-07-04 10:37:00,      3.430000,      6.173000,          7.536503,                    94.782360,      1.000000
                1530724020,           2018-07-04 17:07:00,           2018-07-04 11:07:00,      3.430000,      6.221000,          7.623498,                    95.994452,      1.000000
                1530725820,           2018-07-04 17:37:00,           2018-07-04 11:37:00,      3.430000,      6.173000,          7.540503,                    94.832663,      1.000000
