sensor,deployment,year,timestamp,depth,temperature,DO,DO_saturation,battery,Q
214424,Summer2018,2018,           2018-07-03 13:07:00,1.5,8.322,8.025481,106.542031,3.5,1.008
214424,Summer2018,2018,           2018-07-03 13:37:00,1.5,8.388,8.03448,106.835531,3.5,1.008
214424,Summer2018,2018,           2018-07-03 14:07:00,1.5,8.407,8.023481,106.739319,3.49,1.007
214424,Summer2018,2018,           2018-07-03 14:37:00,1.5,8.378,8.076478,107.367462,3.49,1.008
214424,Summer2018,2018,           2018-07-03 15:07:00,1.5,8.435,8.078478,107.545229,3.49,1.008
214424,Summer2018,2018,           2018-07-03 15:37:00,1.5,8.388,8.050479,107.048271,3.49,1.008
214424,Summer2018,2018,           2018-07-03 16:07:00,1.5,8.322,8.067478,107.099565,3.49,1.007
214424,Summer2018,2018,           2018-07-03 16:37:00,1.5,8.435,8.052479,107.199125,3.48,1.008
214424,Summer2018,2018,           2018-07-03 17:07:00,1.5,8.453,8.04148,107.100233,3.48,1.008
214424,Summer2018,2018,           2018-07-03 17:37:00,1.5,8.416,8.100476,107.787548,3.48,1.007
214424,Summer2018,2018,           2018-07-03 18:07:00,1.5,8.425,8.075478,107.478776,3.48,1.006
214424,Summer2018,2018,           2018-07-03 18:37:00,1.5,8.435,8.095477,107.771528,3.48,1.008
214424,Summer2018,2018,           2018-07-03 19:07:00,1.5,8.444,8.104476,107.915287,3.48,1.008
214424,Summer2018,2018,           2018-07-03 19:37:00,1.5,8.388,8.093477,107.620011,3.48,1.007
214424,Summer2018,2018,           2018-07-03 20:07:00,1.5,8.313,8.093476,107.420807,3.48,1.007
214424,Summer2018,2018,           2018-07-03 20:37:00,1.5,8.294,8.060478,106.932601,3.47,1.006
214424,Summer2018,2018,           2018-07-03 21:07:00,1.5,8.285,8.03748,106.603769,3.47,1.006
214424,Summer2018,2018,           2018-07-03 21:37:00,1.5,8.294,8.065478,106.998928,3.47,1.007
214424,Summer2018,2018,           2018-07-03 22:07:00,1.5,8.331,8.04148,106.778171,3.47,1.007
214424,Summer2018,2018,           2018-07-03 22:37:00,1.5,8.331,8.028481,106.605563,3.47,1.007
214424,Summer2018,2018,           2018-07-03 23:07:00,1.5,8.303,8.027481,106.518542,3.47,1.008
214424,Summer2018,2018,           2018-07-03 23:37:00,1.5,8.275,8.03348,106.52437,3.47,1.007
214424,Summer2018,2018,           2018-07-04 00:07:00,1.5,8.266,8.049479,106.712757,3.47,1.007
214424,Summer2018,2018,           2018-07-04 10:37:00,1.5,8.247,7.975484,105.682103,3.45,1.007
214424,Summer2018,2018,           2018-07-04 11:07:00,1.5,8.313,7.990483,106.053826,3.45,1.007
214424,Summer2018,2018,           2018-07-04 11:37:00,1.5,8.407,7.980484,106.167311,3.45,1.007
214424,Summer2018,2018,           2018-07-04 12:07:00,1.5,8.453,7.985484,106.354447,3.45,1.007
214424,Summer2018,2018,           2018-07-04 12:37:00,1.5,8.584,7.987484,106.724921,3.45,1.007
214424,Summer2018,2018,           2018-07-04 13:07:00,1.5,8.65,7.993484,106.97858,3.45,1.007
214424,Summer2018,2018,           2018-07-04 13:37:00,1.5,8.668,8.017483,107.347231,3.45,1.007
214424,Summer2018,2018,           2018-07-04 14:07:00,1.5,8.724,8.040482,107.803326,3.45,1.008
214424,Summer2018,2018,           2018-07-04 14:37:00,1.5,8.79,8.058481,108.219744,3.45,1.008
214424,Summer2018,2018,           2018-07-04 15:07:00,1.5,9.031,8.033483,108.522177,3.45,1.008
214424,Summer2018,2018,           2018-07-04 15:37:00,1.5,9.105,8.029484,108.664231,3.45,1.008
214424,Summer2018,2018,           2018-07-04 16:07:00,1.5,9.217,8.023485,108.879807,3.45,1.007
214424,Summer2018,2018,           2018-07-04 16:37:00,1.5,9.152,8.052483,109.10043,3.45,1.008
214424,Summer2018,2018,           2018-07-04 17:07:00,1.5,9.17,8.062482,109.283835,3.45,1.008
214424,Summer2018,2018,           2018-07-04 17:37:00,1.5,9.189,8.067482,109.402232,3.45,1.008
214424,Summer2018,2018,           2018-07-04 18:07:00,1.5,9.161,8.09448,109.693495,3.45,1.008
214424,Summer2018,2018,           2018-07-04 18:37:00,1.5,9.254,8.064482,109.534744,3.45,1.007
