sensor,deployment,year,timestamp,depth,temperature,DO,DO_saturation,battery,Q
214424,Summer2018,2018,           2018-07-03 13:07:00,1.5,8.322,8.025,106.542,3.50,1.008
214424,Summer2018,2018,           2018-07-03 13:37:00,1.5,8.388,8.034,106.836,3.50,1.008
214424,Summer2018,2018,           2018-07-03 14:07:00,1.5,8.407,8.023,106.739,3.49,1.007
214424,Summer2018,2018,           2018-07-03 14:37:00,1.5,8.378,8.076,107.367,3.49,1.008
214424,Summer2018,2018,           2018-07-03 15:07:00,1.5,8.435,8.078,107.545,3.49,1.008
214424,Summer2018,2018,           2018-07-03 15:37:00,1.5,8.388,8.050,107.048,3.49,1.008
214424,Summer2018,2018,           2018-07-03 16:07:00,1.5,8.322,8.067,107.100,3.49,1.007
214424,Summer2018,2018,           2018-07-03 16:37:00,1.5,8.435,8.052,107.199,3.48,1.008
214424,Summer2018,2018,           2018-07-03 17:07:00,1.5,8.453,8.041,107.100,3.48,1.008
214424,Summer2018,2018,           2018-07-03 17:37:00,1.5,8.416,8.100,107.788,3.48,1.007
214424,Summer2018,2018,           2018-07-03 18:07:00,1.5,8.425,8.075,107.479,3.48,1.006
214424,Summer2018,2018,           2018-07-03 18:37:00,1.5,8.435,8.095,107.772,3.48,1.008
214424,Summer2018,2018,           2018-07-03 19:07:00,1.5,8.444,8.104,107.915,3.48,1.008
214424,Summer2018,2018,           2018-07-03 19:37:00,1.5,8.388,8.093,107.620,3.48,1.007
214424,Summer2018,2018,           2018-07-03 20:07:00,1.5,8.313,8.093,107.421,3.48,1.007
214424,Summer2018,2018,           2018-07-03 20:37:00,1.5,8.294,8.060,106.933,3.47,1.006
214424,Summer2018,2018,           2018-07-03 21:07:00,1.5,8.285,8.037,106.604,3.47,1.006
214424,Summer2018,2018,           2018-07-03 21:37:00,1.5,8.294,8.065,106.999,3.47,1.007
214424,Summer2018,2018,           2018-07-03 22:07:00,1.5,8.331,8.041,106.778,3.47,1.007
214424,Summer2018,2018,           2018-07-03 22:37:00,1.5,8.331,8.028,106.606,3.47,1.007
214424,Summer2018,2018,           2018-07-03 23:07:00,1.5,8.303,8.027,106.519,3.47,1.008
214424,Summer2018,2018,           2018-07-03 23:37:00,1.5,8.275,8.033,106.524,3.47,1.007
214424,Summer2018,2018,           2018-07-04 00:07:00,1.5,8.266,8.049,106.713,3.47,1.007
214424,Summer2018,2018,           2018-07-04 10:37:00,1.5,8.247,7.975,105.682,3.45,1.007
214424,Summer2018,2018,           2018-07-04 11:07:00,1.5,8.313,7.990,106.054,3.45,1.007
214424,Summer2018,2018,           2018-07-04 11:37:00,1.5,8.407,7.980,106.167,3.45,1.007
214424,Summer2018,2018,           2018-07-04 12:07:00,1.5,8.453,7.985,106.354,3.45,1.007
214424,Summer2018,2018,           2018-07-04 12:37:00,1.5,8.584,7.987,106.725,3.45,1.007
214424,Summer2018,2018,           2018-07-04 13:07:00,1.5,8.650,7.993,106.979,3.45,1.007
214424,Summer2018,2018,           2018-07-04 13:37:00,1.5,8.668,8.017,107.347,3.45,1.007
214424,Summer2018,2018,           2018-07-04 14:07:00,1.5,8.724,8.040,107.803,3.45,1.008
214424,Summer2018,2018,           2018-07-04 14:37:00,1.5,8.790,8.058,108.220,3.45,1.008
214424,Summer2018,2018,           2018-07-04 15:07:00,1.5,9.031,8.033,108.522,3.45,1.008
214424,Summer2018,2018,           2018-07-04 15:37:00,1.5,9.105,8.029,108.664,3.45,1.008
214424,Summer2018,2018,           2018-07-04 16:07:00,1.5,9.217,8.023,108.880,3.45,1.007
214424,Summer2018,2018,           2018-07-04 16:37:00,1.5,9.152,8.052,109.100,3.45,1.008
214424,Summer2018,2018,           2018-07-04 17:07:00,1.5,9.170,8.062,109.284,3.45,1.008
214424,Summer2018,2018,           2018-07-04 17:37:00,1.5,9.189,8.067,109.402,3.45,1.008
214424,Summer2018,2018,           2018-07-04 18:07:00,1.5,9.161,8.094,109.693,3.45,1.008
214424,Summer2018,2018,           2018-07-04 18:37:00,1.5,9.254,8.064,109.535,3.45,1.007
214424,Summer2018,2018,           2018-07-04 19:07:00,1.5,9.254,8.090,109.888,3.45,1.009
214424,Summer2018,2018,           2018-07-04 19:37:00,1.5,9.143,8.083,109.496,3.45,1.007
214424,Summer2018,2018,           2018-07-04 20:07:00,1.5,9.152,8.105,109.818,3.45,1.008
214424,Summer2018,2018,           2018-07-04 20:37:00,1.5,9.272,8.076,109.746,3.45,1.008
214424,Summer2018,2018,           2018-07-04 21:07:00,1.5,9.346,8.034,109.372,3.45,1.009
214424,Summer2018,2018,           2018-07-04 21:37:00,1.5,9.291,8.025,109.103,3.45,1.008
214424,Summer2018,2018,           2018-07-04 22:07:00,1.5,9.281,8.030,109.145,3.45,1.008
214424,Summer2018,2018,           2018-07-04 22:37:00,1.5,9.272,8.024,109.039,3.45,1.009
214424,Summer2018,2018,           2018-07-04 23:07:00,1.5,9.217,8.025,108.907,3.45,1.009
214424,Summer2018,2018,           2018-07-04 23:37:00,1.5,9.327,7.942,108.069,3.45,1.008
214424,Summer2018,2018,           2018-07-05 00:07:00,1.5,9.272,7.952,108.061,3.45,1.008
214424,Summer2018,2018,           2018-07-05 00:37:00,1.5,9.244,7.984,108.422,3.45,1.009
214424,Summer2018,2018,           2018-07-05 01:07:00,1.5,9.170,7.976,108.118,3.45,1.008
214424,Summer2018,2018,           2018-07-05 01:37:00,1.5,9.143,7.974,108.020,3.45,1.009
214424,Summer2018,2018,           2018-07-05 02:07:00,1.5,9.207,7.921,107.470,3.45,1.009
214424,Summer2018,2018,           2018-07-05 02:37:00,1.5,9.124,7.940,107.510,3.45,1.010
214424,Summer2018,2018,           2018-07-05 03:07:00,1.5,9.031,7.915,106.928,3.45,1.009
214424,Summer2018,2018,           2018-07-05 03:37:00,1.5,9.059,7.898,106.772,3.45,1.008
214424,Summer2018,2018,           2018-07-05 04:07:00,1.5,9.013,7.896,106.625,3.45,1.009
214424,Summer2018,2018,           2018-07-05 04:37:00,1.5,8.901,7.949,107.047,3.44,1.009
214424,Summer2018,2018,           2018-07-05 05:07:00,1.5,8.920,7.907,106.531,3.44,1.008
214424,Summer2018,2018,           2018-07-05 05:37:00,1.5,8.948,7.885,106.307,3.44,1.010
214424,Summer2018,2018,           2018-07-05 06:07:00,1.5,8.920,7.866,105.978,3.44,1.009
214424,Summer2018,2018,           2018-07-05 06:37:00,1.5,8.911,7.838,105.578,3.44,1.009
214424,Summer2018,2018,           2018-07-05 07:07:00,1.5,8.892,7.889,106.215,3.44,1.010
214424,Summer2018,2018,           2018-07-05 07:37:00,1.5,8.901,7.874,106.037,3.45,1.009
214424,Summer2018,2018,           2018-07-05 08:07:00,1.5,8.901,7.921,106.670,3.44,1.009
214424,Summer2018,2018,           2018-07-05 08:37:00,1.5,8.873,7.968,107.229,3.44,1.008
214424,Summer2018,2018,           2018-07-05 09:07:00,1.5,8.976,7.951,107.270,3.44,1.008
214424,Summer2018,2018,           2018-07-05 09:37:00,1.5,9.050,7.958,107.559,3.45,1.009
214424,Summer2018,2018,           2018-07-05 10:07:00,1.5,9.105,7.961,107.744,3.45,1.009
214424,Summer2018,2018,           2018-07-05 10:37:00,1.5,9.143,7.969,107.952,3.45,1.009
214424,Summer2018,2018,           2018-07-05 11:07:00,1.5,9.180,7.951,107.806,3.44,1.009
214424,Summer2018,2018,           2018-07-05 11:37:00,1.5,9.318,7.953,108.195,3.45,1.009
214424,Summer2018,2018,           2018-07-05 12:07:00,1.5,9.346,7.976,108.582,3.45,1.009
214424,Summer2018,2018,           2018-07-05 12:37:00,1.5,9.521,7.977,109.058,3.44,1.009
214424,Summer2018,2018,           2018-07-05 13:07:00,1.5,9.512,7.998,109.321,3.44,1.010
214424,Summer2018,2018,           2018-07-05 13:37:00,1.5,9.475,8.010,109.387,3.45,1.009
214424,Summer2018,2018,           2018-07-05 14:07:00,1.5,9.300,8.017,109.018,3.45,1.008
214424,Summer2018,2018,           2018-07-05 14:37:00,1.5,9.346,8.026,109.263,3.45,1.009
214424,Summer2018,2018,           2018-07-05 15:07:00,1.5,9.447,8.056,109.940,3.45,1.010
214424,Summer2018,2018,           2018-07-05 15:37:00,1.5,9.549,8.073,110.445,3.45,1.010
214424,Summer2018,2018,           2018-07-05 16:07:00,1.5,9.631,8.018,109.910,3.45,1.007
214424,Summer2018,2018,           2018-07-05 16:37:00,1.5,9.696,8.046,110.468,3.45,1.010
214424,Summer2018,2018,           2018-07-05 17:07:00,1.5,9.687,8.058,110.608,3.44,1.009
