Sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,PAR,Acceleration.X,Acceleration.Y,Acceleration.Z
695220,9,1530641220,           2018-07-03 18:07:00,           2018-07-03 12:07:00,3.52,9.966,152.63973,1.111,-0.049,0.167
695220,9,1530643020,           2018-07-03 18:37:00,           2018-07-03 12:37:00,3.52,6.923,37.46444,1.105,-0.05,0.24
695220,9,1530644820,           2018-07-03 19:07:00,           2018-07-03 13:07:00,3.52,6.554,8.5152,1.134,-0.049,0.227
695220,9,1530646620,           2018-07-03 19:37:00,           2018-07-03 13:37:00,3.52,6.456,25.82521,1.139,-0.05,0.211
695220,9,1530648420,           2018-07-03 20:07:00,           2018-07-03 14:07:00,3.52,6.456,2.32201,1.127,-0.058,0.223
695220,9,1530650220,           2018-07-03 20:37:00,           2018-07-03 14:37:00,3.52,6.456,3.71708,1.135,-0.068,0.232
695220,9,1530652020,           2018-07-03 21:07:00,           2018-07-03 15:07:00,3.51,6.524,1.8492,1.135,-0.077,0.284
695220,9,1530653820,           2018-07-03 21:37:00,           2018-07-03 15:37:00,3.51,6.515,5.24641,1.136,-0.079,0.273
695220,9,1530655620,           2018-07-03 22:07:00,           2018-07-03 16:07:00,3.51,6.466,0.31987,1.142,-0.072,0.233
695220,9,1530657420,           2018-07-03 22:37:00,           2018-07-03 16:37:00,3.51,6.573,4.13444,1.134,-0.064,0.238
695220,9,1530659220,           2018-07-03 23:07:00,           2018-07-03 17:07:00,3.51,6.495,2.19359,1.136,-0.068,0.231
695220,9,1530661020,           2018-07-03 23:37:00,           2018-07-03 17:37:00,3.51,6.495,8.01905,1.135,-0.063,0.259
695220,9,1530662820,           2018-07-04 00:07:00,           2018-07-03 18:07:00,3.51,6.475,0.15935,1.134,-0.071,0.24
695220,9,1530664620,           2018-07-04 00:37:00,           2018-07-03 18:37:00,3.51,6.368,3.03998,1.142,-0.072,0.2
695220,9,1530666420,           2018-07-04 01:07:00,           2018-07-03 19:07:00,3.51,6.426,3.1071,1.127,-0.057,0.179
695220,9,1530668220,           2018-07-04 01:37:00,           2018-07-03 19:37:00,3.5,6.466,-0.23757,1.134,-0.049,0.209
695220,9,1530670020,           2018-07-04 02:07:00,           2018-07-03 20:07:00,3.5,6.563,-0.27551,1.136,-0.049,0.192
695220,9,1530671820,           2018-07-04 02:37:00,           2018-07-03 20:37:00,3.5,6.466,-0.42144,1.136,-0.049,0.209
695220,9,1530673620,           2018-07-04 03:07:00,           2018-07-03 21:07:00,3.5,6.524,1.58361,1.139,-0.072,0.227
695220,9,1530675420,           2018-07-04 03:37:00,           2018-07-03 21:37:00,3.5,6.544,0.22356,1.135,-0.073,0.236
695220,9,1530677220,           2018-07-04 04:07:00,           2018-07-03 22:07:00,3.5,6.407,0.10098,1.136,-0.072,0.24
695220,9,1530679020,           2018-07-04 04:37:00,           2018-07-03 22:37:00,3.5,6.348,-0.29302,1.127,-0.068,0.231
695220,9,1530680820,           2018-07-04 05:07:00,           2018-07-03 23:07:00,3.5,6.505,0.73431,1.136,-0.065,0.224
695220,9,1530682620,           2018-07-04 05:37:00,           2018-07-03 23:37:00,3.5,6.475,0.88899,1.143,-0.068,0.216
695220,9,1530684420,           2018-07-04 06:07:00,           2018-07-04 00:07:00,3.5,6.524,1.49897,1.14,-0.077,0.28
695220,9,1530686220,           2018-07-04 06:37:00,           2018-07-04 00:37:00,3.49,6.563,0.97655,1.142,-0.071,0.216
695220,9,1530688020,           2018-07-04 07:07:00,           2018-07-04 01:07:00,3.49,6.661,0.50666,1.135,-0.072,0.231
695220,9,1530689820,           2018-07-04 07:37:00,           2018-07-04 01:37:00,3.49,6.641,-0.44771,1.136,-0.065,0.227
695220,9,1530691620,           2018-07-04 08:07:00,           2018-07-04 02:07:00,3.49,6.515,1.5661,1.139,-0.082,0.289
695220,9,1530693420,           2018-07-04 08:37:00,           2018-07-04 02:37:00,3.49,6.387,1.41142,1.137,-0.071,0.224
695220,9,1530695220,           2018-07-04 09:07:00,           2018-07-04 03:07:00,3.49,6.456,-0.66952,1.139,-0.082,0.286
695220,9,1530697020,           2018-07-04 09:37:00,           2018-07-04 03:37:00,3.49,6.485,0.13017,1.132,-0.064,0.225
695220,9,1530698820,           2018-07-04 10:07:00,           2018-07-04 04:07:00,3.49,6.495,-1.78441,1.137,-0.068,0.23
695220,9,1530700620,           2018-07-04 10:37:00,           2018-07-04 04:37:00,3.49,6.495,2.08269,1.139,-0.071,0.247
695220,9,1530702420,           2018-07-04 11:07:00,           2018-07-04 05:07:00,3.49,6.524,1.02033,1.136,-0.068,0.231
695220,9,1530704220,           2018-07-04 11:37:00,           2018-07-04 05:37:00,3.48,6.495,-0.08581,1.136,-0.068,0.243
695220,9,1530706020,           2018-07-04 12:07:00,           2018-07-04 06:07:00,3.48,6.456,0.57087,1.137,-0.072,0.231
695220,9,1530707820,           2018-07-04 12:37:00,           2018-07-04 06:37:00,3.48,6.417,2.98452,1.135,-0.064,0.216
695220,9,1530709620,           2018-07-04 13:07:00,           2018-07-04 07:07:00,3.48,6.544,3.45149,1.139,-0.069,0.224
695220,9,1530711420,           2018-07-04 13:37:00,           2018-07-04 07:37:00,3.48,6.563,3.59742,1.139,-0.056,0.204
