sensor,deployment,year,timestamp,depth,temperature,C7_output,gain,est.chl_a,battery,flag_RE
240115,Winter2018,2018,2018-09-11 12:26:00,3,9.101,0,10,7.01236594,3.02,n
240115,Winter2018,2019,2019-02-10 08:56:00,3,0.338,0,10,6.968610925,2.75,n
240115,Summer2018,2018,2018-07-09 16:42:00,9,6.651,6.549497,10,6.86848,3.05,q
240115,Winter2018,2019,2019-06-17 10:26:00,3,0.612,7.912547,100,6.02317123,2.63,n
240115,Winter2018,2019,2019-06-17 09:56:00,3,0.373,10.22951,100,6.065926148,2.63,n
240115,Winter2018,2019,2019-06-14 12:56:00,3,0.258,11.27172,100,6.085158049,2.64,n
240115,Winter2018,2019,2019-06-17 10:56:00,3,0.726,11.36647,100,6.086906471,2.64,n
240115,Summer2018,2018,2018-07-10 08:12:00,9,6.622,11.4465,10,6.86848,3.03,q
240115,Winter2018,2019,2019-06-16 14:56:00,3,0.441,11.66375,100,6.092392179,2.63,n
240115,Winter2018,2019,2019-02-26 13:56:00,3,0.419,11.79291,100,6.094775568,2.73,n
240115,Winter2018,2019,2019-06-21 10:56:00,3,0.235,11.82388,100,6.095347058,2.63,n
240115,Winter2018,2019,2019-02-26 13:26:00,3,0.43,11.98976,100,6.098408041,2.73,n
240115,Winter2018,2019,2019-06-15 14:56:00,3,0.338,12.44782,100,6.106860622,2.63,n
240115,Summer2018,2018,2018-07-09 15:42:00,9,6.671,12.5077,10,6.86848,3.05,q
240115,Winter2018,2019,2019-06-13 22:56:00,3,-0.216,12.53114,100,6.108398126,2.64,n
240115,Winter2018,2019,2019-06-21 08:56:00,3,0.293,12.57544,100,6.109215594,2.63,n
240115,Winter2018,2019,2019-02-26 14:26:00,3,0.43,12.65456,100,6.110675596,2.74,n
240115,Winter2018,2019,2019-02-25 13:26:00,3,0.304,12.76992,100,6.112804334,2.74,n
240115,Winter2018,2019,2019-06-13 23:26:00,3,-0.181,13.15514,100,6.119912798,2.64,n
240115,Summer2018,2018,2018-07-09 17:12:00,9,6.593,13.29929,10,6.86848,3.05,q
240115,Winter2018,2019,2019-02-27 13:56:00,3,0.396,13.41849,100,6.124772396,2.73,n
240115,Winter2018,2019,2019-06-18 12:56:00,3,0.281,13.43661,100,6.125106764,2.63,n
240115,Winter2018,2019,2019-06-15 17:26:00,3,0.039,13.4526,100,6.125401828,2.64,n
240115,Winter2018,2019,2019-02-27 14:26:00,3,0.43,13.45592,100,6.125463092,2.74,n
240115,Winter2018,2019,2019-06-13 09:56:00,3,0.441,13.5435,100,6.127079206,2.64,n
240115,Winter2018,2019,2019-06-21 09:56:00,3,0.293,13.61687,100,6.128433102,2.63,n
