"","sensor","deployment","year","timestamp","depth","Temperature","C7_output","chlora","Gain","Battery"
"3",240115,"Summer2018",2018,2018-07-03 13:12:00,9,6.807,44.75221,6.08341,10,3.04
"4",240115,"Summer2018",2018,2018-07-03 13:42:00,9,6.622,46.20787,7.53907,10,3.04
"5",240115,"Summer2018",2018,2018-07-03 14:12:00,9,6.632,45.37975,6.71095,10,3.04
"6",240115,"Summer2018",2018,2018-07-03 14:42:00,9,6.583,43.59718,4.92838,10,3.04
"7",240115,"Summer2018",2018,2018-07-03 15:12:00,9,6.641,41.06354,2.39474000000001,10,3.05
"8",240115,"Summer2018",2018,2018-07-03 15:42:00,9,6.622,43.32253,4.65373,10,3.05
"9",240115,"Summer2018",2018,2018-07-03 16:12:00,9,6.573,40.08304,1.41424,10,3.05
"10",240115,"Summer2018",2018,2018-07-03 16:42:00,9,6.661,40.52809,1.85929,10,3.05
"11",240115,"Summer2018",2018,2018-07-03 17:12:00,9,6.661,39.7764,1.10760000000001,10,3.05
"12",240115,"Summer2018",2018,2018-07-03 17:42:00,9,6.622,43.81327,5.14447000000001,10,3.05
"13",240115,"Summer2018",2018,2018-07-03 18:12:00,9,6.612,43.20397,4.53517,10,3.05
"14",240115,"Summer2018",2018,2018-07-03 18:42:00,9,6.524,43.27041,4.60161,10,3.05
"15",240115,"Summer2018",2018,2018-07-03 19:12:00,9,6.573,41.61807,2.94927000000001,10,3.05
"16",240115,"Summer2018",2018,2018-07-03 19:42:00,9,6.544,40.89174,2.22294,10,3.05
"17",240115,"Summer2018",2018,2018-07-03 20:12:00,9,6.651,40.3034,1.63460000000001,10,3.05
"18",240115,"Summer2018",2018,2018-07-03 20:42:00,9,6.602,40.70646,2.03766,10,3.05
"19",240115,"Summer2018",2018,2018-07-03 21:12:00,9,6.641,39.03358,0.364780000000003,10,3.05
"20",240115,"Summer2018",2018,2018-07-03 21:42:00,9,6.69,39.23563,0.566830000000003,10,3.05
"21",240115,"Summer2018",2018,2018-07-03 22:12:00,9,6.524,42.39492,3.72612,10,3.05
"22",240115,"Summer2018",2018,2018-07-03 22:42:00,9,6.505,44.54128,5.87248,10,3.05
"23",240115,"Summer2018",2018,2018-07-03 23:12:00,9,6.602,43.47938,4.81058,10,3.05
"24",240115,"Summer2018",2018,2018-07-03 23:42:00,9,6.632,42.04049,3.37169,10,3.05
"25",240115,"Summer2018",2018,2018-07-04 00:12:00,9,6.622,40.85786,2.18906,10,3.05
"26",240115,"Summer2018",2018,2018-07-04 00:42:00,9,6.68,41.49644,2.82764,10,3.06
"27",240115,"Summer2018",2018,2018-07-04 01:12:00,9,6.768,40.32135,1.65255000000001,10,3.06
"28",240115,"Summer2018",2018,2018-07-04 01:42:00,9,6.748,44.31967,5.65087,10,3.05
"29",240115,"Summer2018",2018,2018-07-04 02:12:00,9,6.661,45.5018,6.83300000000001,10,3.06
"30",240115,"Summer2018",2018,2018-07-04 02:42:00,9,6.524,42.71721,4.04841,10,3.05
"31",240115,"Summer2018",2018,2018-07-04 03:12:00,9,6.573,42.998,4.3292,10,3.06
"32",240115,"Summer2018",2018,2018-07-04 03:42:00,9,6.573,40.79651,2.12771,10,3.06
"33",240115,"Summer2018",2018,2018-07-04 04:12:00,9,6.602,40.64218,1.97338000000001,10,3.06
"34",240115,"Summer2018",2018,2018-07-04 04:42:00,9,6.632,43.72371,5.05491,10,3.06
"35",240115,"Summer2018",2018,2018-07-04 05:12:00,9,6.612,43.23758,4.56878,10,3.06
"36",240115,"Summer2018",2018,2018-07-04 05:42:00,9,6.563,44.07178,5.40298,10,3.07
"37",240115,"Summer2018",2018,2018-07-04 06:12:00,9,6.554,44.86951,6.20071,10,3.06
"38",240115,"Summer2018",2018,2018-07-04 06:42:00,9,6.554,41.99367,3.32487,10,3.06
"39",240115,"Summer2018",2018,2018-07-04 07:12:00,9,6.593,42.08967,3.42087,10,3.06
"40",240115,"Summer2018",2018,2018-07-04 07:42:00,9,6.671,41.12118,2.45238000000001,10,3.06
"41",240115,"Summer2018",2018,2018-07-04 08:12:00,9,6.632,42.08073,3.41193000000001,10,3.06
"42",240115,"Summer2018",2018,2018-07-04 08:42:00,9,6.622,44.29046,5.62166000000001,10,3.06
"43",240115,"Summer2018",2018,2018-07-04 09:12:00,9,6.602,44.41853,5.74973,10,3.06
"44",240115,"Summer2018",2018,2018-07-04 09:42:00,9,6.612,44.41629,5.74749,10,3.06
"45",240115,"Summer2018",2018,2018-07-04 10:12:00,9,6.729,43.42817,4.75937,10,3.06
"46",240115,"Summer2018",2018,2018-07-04 10:42:00,9,6.651,45.71594,7.04714000000001,10,3.06
"47",240115,"Summer2018",2018,2018-07-04 11:12:00,9,6.573,47.81913,9.15033,10,3.08
"48",240115,"Summer2018",2018,2018-07-04 11:42:00,9,6.573,47.45771,8.78891,10,3.06
"49",240115,"Summer2018",2018,2018-07-04 12:12:00,9,6.593,46.22827,7.55947,10,3.06
"50",240115,"Summer2018",2018,2018-07-04 12:42:00,9,6.612,46.83353,8.16473000000001,10,3.06
"51",240115,"Summer2018",2018,2018-07-04 13:12:00,9,6.632,45.3314,6.6626,10,3.06
"52",240115,"Summer2018",2018,2018-07-04 13:42:00,9,6.632,43.02637,4.35757,10,3.06
"53",240115,"Summer2018",2018,2018-07-04 14:12:00,9,6.671,44.39191,5.72311000000001,10,3.06
"54",240115,"Summer2018",2018,2018-07-04 14:42:00,9,6.612,43.61436,4.94556,10,3.06
"55",240115,"Summer2018",2018,2018-07-04 15:12:00,9,6.7,43.61346,4.94466000000001,10,3.06
"56",240115,"Summer2018",2018,2018-07-04 15:42:00,9,6.729,41.90634,3.23754,10,3.06
"57",240115,"Summer2018",2018,2018-07-04 16:12:00,9,6.797,35.60342,0,10,3.06
"58",240115,"Summer2018",2018,2018-07-04 16:42:00,9,6.855,41.65559,2.98679,10,3.06
"59",240115,"Summer2018",2018,2018-07-04 17:12:00,9,6.446,47.40929,8.74049,10,3.06
"60",240115,"Summer2018",2018,2018-07-04 17:42:00,9,6.515,44.39337,5.72457,10,3.06
"61",240115,"Summer2018",2018,2018-07-04 18:12:00,9,6.7,33.6,0,10,3.06
"62",240115,"Summer2018",2018,2018-07-04 18:42:00,9,6.71,37.99655,0,10,3.06
"63",240115,"Summer2018",2018,2018-07-04 19:12:00,9,6.612,42.30199,3.63319000000001,10,3.06
"64",240115,"Summer2018",2018,2018-07-04 19:42:00,9,6.544,42.27216,3.60336,10,3.06
"65",240115,"Summer2018",2018,2018-07-04 20:12:00,9,6.593,37.622,0,10,3.06
"66",240115,"Summer2018",2018,2018-07-04 20:42:00,9,6.651,37.02275,0,10,3.06
"67",240115,"Summer2018",2018,2018-07-04 21:12:00,9,6.68,36.88407,0,10,3.06
"68",240115,"Summer2018",2018,2018-07-04 21:42:00,9,6.748,35.42156,0,10,3.06
"69",240115,"Summer2018",2018,2018-07-04 22:12:00,9,6.661,45.21326,6.54446,10,3.06
"70",240115,"Summer2018",2018,2018-07-04 22:42:00,9,6.583,43.14486,4.47606,10,3.06
"71",240115,"Summer2018",2018,2018-07-04 23:12:00,9,6.554,36.01444,0,10,3.06
"72",240115,"Summer2018",2018,2018-07-04 23:42:00,9,6.573,41.10421,2.43541,10,3.06
"73",240115,"Summer2018",2018,2018-07-05 00:12:00,9,6.554,40.70233,2.03353000000001,10,3.06
"74",240115,"Summer2018",2018,2018-07-05 00:42:00,9,6.622,38.10114,0,10,3.09
"75",240115,"Summer2018",2018,2018-07-05 01:12:00,9,6.661,41.89747,3.22867,10,3.06
"76",240115,"Summer2018",2018,2018-07-05 01:42:00,9,6.641,38.61214,0,10,3.06
"77",240115,"Summer2018",2018,2018-07-05 02:12:00,9,6.7,38.40834,0,10,3.06
"78",240115,"Summer2018",2018,2018-07-05 02:42:00,9,6.68,40.25414,1.58534,10,3.06
"79",240115,"Summer2018",2018,2018-07-05 03:12:00,9,6.495,47.10901,8.44021,10,3.06
"80",240115,"Summer2018",2018,2018-07-05 03:42:00,9,6.622,39.58664,0.917840000000005,10,3.06
"81",240115,"Summer2018",2018,2018-07-05 04:12:00,9,6.651,39.31514,0.646340000000002,10,3.06
"82",240115,"Summer2018",2018,2018-07-05 04:42:00,9,6.7,38.98006,0.311260000000004,10,3.06
"83",240115,"Summer2018",2018,2018-07-05 05:12:00,9,6.71,42.5816,3.9128,10,3.06
"84",240115,"Summer2018",2018,2018-07-05 05:42:00,9,6.602,42.75082,4.08202,10,3.06
"85",240115,"Summer2018",2018,2018-07-05 06:12:00,9,6.524,37.91215,0,10,3.06
"86",240115,"Summer2018",2018,2018-07-05 06:42:00,9,6.534,40.02386,1.35506,10,3.06
"87",240115,"Summer2018",2018,2018-07-05 07:12:00,9,6.563,42.67306,4.00426,10,3.06
"88",240115,"Summer2018",2018,2018-07-05 07:42:00,9,6.661,39.35119,0.682390000000005,10,3.06
"89",240115,"Summer2018",2018,2018-07-05 08:12:00,9,6.661,41.93771,3.26891000000001,10,3.06
"90",240115,"Summer2018",2018,2018-07-05 08:42:00,9,6.7,40.17359,1.50479,10,3.06
"91",240115,"Summer2018",2018,2018-07-05 09:12:00,9,6.651,44.28166,5.61286,10,3.06
"92",240115,"Summer2018",2018,2018-07-05 09:42:00,9,6.593,44.61157,5.94277,10,3.06
"93",240115,"Summer2018",2018,2018-07-05 10:12:00,9,6.583,45.14465,6.47585,10,3.06
"94",240115,"Summer2018",2018,2018-07-05 10:42:00,9,6.612,44.24239,5.57359,10,3.06
"95",240115,"Summer2018",2018,2018-07-05 11:12:00,9,6.593,46.20815,7.53935000000001,10,3.06
"96",240115,"Summer2018",2018,2018-07-05 11:42:00,9,6.612,43.80524,5.13644,10,3.06
"97",240115,"Summer2018",2018,2018-07-05 12:12:00,9,6.661,45.55267,6.88387,10,3.06
"98",240115,"Summer2018",2018,2018-07-05 12:42:00,9,6.573,46.14255,7.47375,10,3.06
"99",240115,"Summer2018",2018,2018-07-05 13:12:00,9,6.641,45.40658,6.73778,10,3.06
"100",240115,"Summer2018",2018,2018-07-05 13:42:00,9,6.583,45.99317,7.32437,10,3.06
"101",240115,"Summer2018",2018,2018-07-05 14:12:00,9,6.583,43.73866,5.06986000000001,10,3.06
"102",240115,"Summer2018",2018,2018-07-05 14:42:00,9,6.593,43.39939,4.73059,10,3.06
"103",240115,"Summer2018",2018,2018-07-05 15:12:00,9,6.641,46.96886,8.30006,10,3.06
"104",240115,"Summer2018",2018,2018-07-05 15:42:00,9,6.544,50.63705,11.96825,10,3.06
"105",240115,"Summer2018",2018,2018-07-05 16:12:00,9,6.554,50.71907,12.05027,10,3.06
"106",240115,"Summer2018",2018,2018-07-05 16:42:00,9,6.68,44.14039,5.47159,10,3.06
"107",240115,"Summer2018",2018,2018-07-05 17:12:00,9,6.612,42.91284,4.24404000000001,10,3.06
"108",240115,"Summer2018",2018,2018-07-05 17:42:00,9,6.71,40.16408,1.49528,10,3.06
"109",240115,"Summer2018",2018,2018-07-05 18:12:00,9,6.612,45.7638,7.09500000000001,10,3.06
"110",240115,"Summer2018",2018,2018-07-05 18:42:00,9,6.583,43.43879,4.76999,10,3.06
"111",240115,"Summer2018",2018,2018-07-05 19:12:00,9,6.505,42.22912,3.56032,10,3.06
"112",240115,"Summer2018",2018,2018-07-05 19:42:00,9,6.651,38.45816,0,10,3.06
"113",240115,"Summer2018",2018,2018-07-05 20:12:00,9,6.622,43.29137,4.62257,10,3.06
"114",240115,"Summer2018",2018,2018-07-05 20:42:00,9,6.641,34.83035,0,10,3.06
"115",240115,"Summer2018",2018,2018-07-05 21:12:00,9,6.622,46.30506,7.63626,10,3.07
"116",240115,"Summer2018",2018,2018-07-05 21:42:00,9,6.583,41.69912,3.03032,10,3.06
