"","Sensor","deployment","year","timestamp","depth","Temperature","PAR","Acceleration.X","Acceleration.Y","Acceleration.Z","tilt","Battery","flag_Y","flag_Z","flag_X","flag_T"
"3",695220,"Summer2018",2018,2018-07-03 13:07:00,9,6.554,8.5152,1.134,-0.049,0.227,-1.52761331245777,3.52,"n","n","n","n"
"4",695220,"Summer2018",2018,2018-07-03 13:37:00,9,6.456,25.82521,1.139,-0.05,0.211,-1.52692633591222,3.52,"n","n","n","n"
"5",695220,"Summer2018",2018,2018-07-03 14:07:00,9,6.456,2.32201,1.127,-0.058,0.223,-1.51937762588919,3.52,"n","n","n","n"
"6",695220,"Summer2018",2018,2018-07-03 14:37:00,9,6.456,3.71708,1.135,-0.068,0.232,-1.5109559618199,3.52,"n","n","n","n"
"7",695220,"Summer2018",2018,2018-07-03 15:07:00,9,6.524,1.8492,1.135,-0.077,0.284,-1.50305870968715,3.51,"n","n","n","n"
"8",695220,"Summer2018",2018,2018-07-03 15:37:00,9,6.515,5.24641,1.136,-0.079,0.273,-1.50136585411178,3.51,"n","n","n","n"
"9",695220,"Summer2018",2018,2018-07-03 16:07:00,9,6.466,0.31987,1.142,-0.072,0.233,-1.50783237947832,3.51,"n","n","n","n"
"10",695220,"Summer2018",2018,2018-07-03 16:37:00,9,6.573,4.13444,1.134,-0.064,0.238,-1.51441874383071,3.51,"n","n","n","n"
"11",695220,"Summer2018",2018,2018-07-03 17:07:00,9,6.495,2.19359,1.136,-0.068,0.231,-1.51100851270147,3.51,"n","n","n","n"
"12",695220,"Summer2018",2018,2018-07-03 17:37:00,9,6.495,8.01905,1.135,-0.063,0.259,-1.51534661869939,3.51,"n","n","n","n"
"13",695220,"Summer2018",2018,2018-07-03 18:07:00,9,6.475,0.15935,1.134,-0.071,0.24,-1.50826771718368,3.51,"n","n","n","n"
"14",695220,"Summer2018",2018,2018-07-03 18:37:00,9,6.368,3.03998,1.142,-0.072,0.2,-1.50783237947832,3.51,"n","n","n","n"
"15",695220,"Summer2018",2018,2018-07-03 19:07:00,9,6.426,3.1071,1.127,-0.057,0.179,-1.52026263353055,3.51,"n","n","n","n"
"19",695220,"Summer2018",2018,2018-07-03 21:07:00,9,6.524,1.58361,1.139,-0.072,0.227,-1.50766697909604,3.5,"n","n","n","n"
"20",695220,"Summer2018",2018,2018-07-03 21:37:00,9,6.544,0.22356,1.135,-0.073,0.236,-1.50656761365811,3.5,"n","n","n","n"
"21",695220,"Summer2018",2018,2018-07-03 22:07:00,9,6.407,0.10098,1.136,-0.072,0.24,-1.50750070860627,3.5,"n","n","n","n"
"23",695220,"Summer2018",2018,2018-07-03 23:07:00,9,6.505,0.73431,1.136,-0.065,0.224,-1.51364033757002,3.5,"n","n","n","n"
"24",695220,"Summer2018",2018,2018-07-03 23:37:00,9,6.475,0.88899,1.143,-0.068,0.216,-1.5113738033215,3.5,"n","n","n","n"
"25",695220,"Summer2018",2018,2018-07-04 00:07:00,9,6.524,1.49897,1.14,-0.077,0.28,-1.50335490248539,3.5,"n","n","n","n"
"26",695220,"Summer2018",2018,2018-07-04 00:37:00,9,6.563,0.97655,1.142,-0.071,0.216,-1.5087046170435,3.49,"n","n","n","n"
"27",695220,"Summer2018",2018,2018-07-04 01:07:00,9,6.661,0.50666,1.135,-0.072,0.231,-1.50744509056631,3.49,"n","n","n","n"
"29",695220,"Summer2018",2018,2018-07-04 02:07:00,9,6.515,1.5661,1.139,-0.082,0.289,-1.49892734472398,3.49,"n","n","n","n"
"30",695220,"Summer2018",2018,2018-07-04 02:37:00,9,6.387,1.41142,1.137,-0.071,0.224,-1.5084322723155,3.49,"n","n","n","n"
"32",695220,"Summer2018",2018,2018-07-04 03:37:00,9,6.485,0.13017,1.132,-0.064,0.225,-1.51431934828023,3.49,"n","n","n","n"
"34",695220,"Summer2018",2018,2018-07-04 04:37:00,9,6.495,2.08269,1.139,-0.071,0.247,-1.50854149602677,3.49,"n","n","n","n"
"35",695220,"Summer2018",2018,2018-07-04 05:07:00,9,6.524,1.02033,1.136,-0.068,0.231,-1.51100851270147,3.49,"n","n","n","n"
"37",695220,"Summer2018",2018,2018-07-04 06:07:00,9,6.456,0.57087,1.137,-0.072,0.231,-1.50755622920436,3.48,"n","n","n","n"
"38",695220,"Summer2018",2018,2018-07-04 06:37:00,9,6.417,2.98452,1.135,-0.064,0.216,-1.51446831066303,3.48,"n","n","n","n"
"39",695220,"Summer2018",2018,2018-07-04 07:07:00,9,6.544,3.45149,1.139,-0.069,0.224,-1.51029081463372,3.48,"n","n","n","n"
"40",695220,"Summer2018",2018,2018-07-04 07:37:00,9,6.563,3.59742,1.139,-0.056,0.204,-1.52166995049911,3.48,"n","n","n","n"
"41",695220,"Summer2018",2018,2018-07-04 08:07:00,9,6.544,7.0063,1.161,-0.064,0.08,-1.51572716986742,3.48,"n","o","o","n"
"42",695220,"Summer2018",2018,2018-07-04 08:37:00,9,6.466,9.09308,1.137,-0.055,0.204,-1.5224610926218,3.48,"n","n","n","n"
"43",695220,"Summer2018",2018,2018-07-04 09:07:00,9,6.534,13.7336,1.136,-0.045,0.195,-1.53120435084938,3.48,"n","n","n","n"
"44",695220,"Summer2018",2018,2018-07-04 09:37:00,9,6.466,11.92992,1.134,-0.049,0.211,-1.52761331245777,3.48,"n","n","n","n"
"45",695220,"Summer2018",2018,2018-07-04 10:07:00,9,6.602,17.08703,1.129,-0.048,0.211,-1.52830641515521,3.48,"n","n","n","n"
