LTER_site,local_site,location,sensor,deployment,year,sensor,timestamp,depth,temperature,C7_output,gain,est.chl_a,battery
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 13:12:00,9,6.807,44.752,10,0.399,3.04
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 13:42:00,9,6.622,46.208,10,0.494,3.04
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 14:12:00,9,6.632,45.38,10,0.44,3.04
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 14:42:00,9,6.583,43.597,10,0.323,3.04
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 15:12:00,9,6.641,41.064,10,0.157,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 15:42:00,9,6.622,43.323,10,0.305,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 16:12:00,9,6.573,40.083,10,0.093,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 16:42:00,9,6.661,40.528,10,0.122,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 17:12:00,9,6.661,39.776,10,0.073,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 17:42:00,9,6.622,43.813,10,0.337,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 18:12:00,9,6.612,43.204,10,0.297,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 18:42:00,9,6.524,43.27,10,0.302,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 19:12:00,9,6.573,41.618,10,0.193,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 19:42:00,9,6.544,40.892,10,0.146,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 20:12:00,9,6.651,40.303,10,0.107,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 20:42:00,9,6.602,40.706,10,0.134,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 21:12:00,9,6.641,39.034,10,0.024,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 21:42:00,9,6.69,39.236,10,0.037,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 22:12:00,9,6.524,42.395,10,0.244,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 22:42:00,9,6.505,44.541,10,0.385,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 23:12:00,9,6.602,43.479,10,0.315,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-03 23:42:00,9,6.632,42.04,10,0.221,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 00:12:00,9,6.622,40.858,10,0.143,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 00:42:00,9,6.68,41.496,10,0.185,3.06
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 01:12:00,9,6.768,40.321,10,0.108,3.06
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 01:42:00,9,6.748,44.32,10,0.37,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 02:12:00,9,6.661,45.502,10,0.448,3.06
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 02:42:00,9,6.524,42.717,10,0.265,3.05
NWT,GL4,lake,240115,Summer2018,2018,240115,2018-07-04 03:12:00,9,6.573,42.998,10,0.284,3.06
