Date,Year,ungravid,gravid,male,ephippia,neonates,infected,Julian,Month,EXCLUDE,TotalnNeo,TotalAll,fYear,julianall,group,fjulian,uninfected,secview,airtemp,windspd
2/24/00,2000,0,0,0,0,0,0,54,2,NA,0,0,2000,54,1,54,0,NA,10.1,3
4/4/00,2000,400,74,0,0,0,3,94,4,NA,477,477,2000,94,1,94,474,NA,NA,NA
4/24/00,2000,348,13,0,0,181,0,114,4,NA,361,542,2000,114,1,114,361,3.9,16.7,8
5/4/00,2000,526,8,162,0,0,0,124,5,NA,696,696,2000,124,1,124,696,5.1,24.5,10
6/2/00,2000,10,0,2,0,0,0,153,6,NA,12,12,2000,153,1,153,12,3.3,14,15
7/10/00,2000,0,0,0,0,0,0,191,7,NA,0,0,2000,191,1,191,0,NA,NA,NA
9/8/00,2000,5,6,0,0,0,0,251,9,NA,11,11,2000,251,1,251,11,1.8,23.3,0
10/30/00,2000,416,0,0,0,0,0,303,10,NA,416,416,2000,303,1,303,416,3,9.3,13
11/15/00,2000,1216,9,0,0,4,0,319,11,NA,1225,1229,2000,319,1,319,1225,3.6,2.1,6
5/14/01,2001,712,19,65,0,0,0,133,5,NA,796,796,2001,498,1,498,796,4.3,18.3,15
5/29/01,2001,170,0,12,0,0,10,148,5,NA,192,192,2001,513,1,513,182,6.6,17.2,2
6/11/01,2001,66,3,0,0,0,0,161,6,NA,69,69,2001,526,1,526,69,3.6,27.3,6
6/25/01,2001,4,0,0,0,0,0,175,6,NA,4,4,2001,540,1,540,4,3.6,26,6
7/10/01,2001,0,0,0,0,0,0,190,7,NA,0,0,2001,555,1,555,0,4.6,21.7,8
7/23/01,2001,0,0,0,0,0,0,203,7,NA,0,0,2001,568,1,568,0,3.3,24.5,7
8/6/01,2001,0,0,0,0,0,0,217,8,NA,0,0,2001,582,1,582,0,3.6,34.4,6
8/23/01,2001,0,5,0,0,0,0,234,8,NA,5,5,2001,599,1,599,5,3.9,25.2,6
9/17/01,2001,37,26,1,0,0,0,259,9,NA,64,64,2001,624,1,624,64,2.3,18.5,1
9/25/01,2001,25,41,0,0,0,0,267,9,NA,66,66,2001,632,1,632,66,NA,NA,NA
1/23/02,2002,170,0,0,0,2,0,22,1,NA,170,172,2002,752,1,752,170,NA,-1,4
3/5/02,2002,925,144,0,4,0,7,63,3,NA,1080,1080,2002,793,1,793,1073,NA,-5,6
4/4/02,2002,743,399,0,0,0,8,93,4,NA,1150,1150,2002,823,1,823,1142,NA,1,10
4/23/02,2002,107,36,1,0,4,0,112,4,NA,144,148,2002,842,1,842,144,2.7,15,8
5/6/02,2002,18,5,0,0,14,0,125,5,NA,23,37,2002,855,1,855,23,2.9,8.9,3
5/20/02,2002,611,78,41,0,4,3,139,5,NA,733,737,2002,869,1,869,730,4.2,13,8
6/17/02,2002,69,21,0,2,2,21,167,6,NA,113,115,2002,897,1,897,92,3.8,20,6
7/1/02,2002,9,10,0,1,0,4,181,7,NA,24,24,2002,911,1,911,20,3.6,27,5
7/16/02,2002,6,2,0,0,10,0,196,7,NA,8,18,2002,926,1,926,8,4.7,30,5
8/1/02,2002,1,1,0,0,0,0,212,8,NA,2,2,2002,942,1,942,2,4.2,21.9,0
8/14/02,2002,21,24,0,0,1,0,225,8,NA,45,46,2002,955,1,955,45,3.1,23,6
8/26/02,2002,128,45,0,0,0,0,237,8,NA,172,172,2002,967,1,967,173,4.3,29,0
9/9/02,2002,177,58,0,0,0,1,251,9,NA,236,236,2002,981,1,981,235,2.8,32,8
9/24/02,2002,39,4,0,0,0,0,266,9,NA,43,43,2002,996,1,996,43,1.9,12.8,7
10/9/02,2002,8,3,0,0,0,0,281,10,NA,10,10,2002,1011,1,1011,11,1.7,9.4,5
10/21/02,2002,18,1,0,0,31,0,293,10,NA,19,50,2002,1023,1,1023,19,1.9,-0.8,6
11/4/02,2002,42,2,0,0,1,0,307,11,NA,44,45,2002,1037,1,1037,44,1.8,0.1,6
1/24/03,2003,261,0,0,5,0,52,23,1,NA,318,318,2003,1118,1,1118,266,NA,-14.3,8
2/26/03,2003,461,119,0,0,0,215,56,2,NA,795,795,2003,1151,1,1151,580,NA,-5,3
3/28/03,2003,166,45,0,0,0,859,86,3,NA,1070,1070,2003,1181,1,1181,211,NA,NA,NA
4/30/03,2003,7,2,0,0,13,1,119,4,NA,10,23,2003,1214,1,1214,9,1.5,14,0
5/15/03,2003,15,3,0,0,38,1,134,5,NA,19,57,2003,1229,1,1229,18,2.3,20,4
5/29/03,2003,286,38,90,50,316,46,148,5,NA,510,826,2003,1243,1,1243,464,6,27.5,4
6/11/03,2003,199,18,10,4,95,28,161,6,NA,259,354,2003,1256,1,1256,231,4.8,23,3
6/23/03,2003,103,31,0,0,112,47,173,6,NA,181,293,2003,1268,1,1268,134,3.8,33,4
7/7/03,2003,80,70,0,0,0,22,187,7,NA,172,172,2003,1282,1,1282,150,4.2,26,8
7/23/03,2003,33,16,0,0,15,3,203,7,NA,52,67,2003,1298,1,1298,49,4.7,28,0
8/6/03,2003,42,27,0,0,29,5,217,8,NA,74,103,2003,1312,1,1312,69,3.3,29,9
8/18/03,2003,30,20,0,0,21,1,229,8,NA,51,72,2003,1324,1,1324,50,3.9,31,8
9/2/03,2003,15,32,0,0,48,1,244,9,NA,48,96,2003,1339,1,1339,47,2.2,NA,9
9/17/03,2003,8,0,0,0,4,0,259,9,NA,8,12,2003,1354,1,1354,8,2.2,23.3,7
10/13/03,2003,37,7,0,0,44,0,285,10,NA,44,88,2003,1380,1,1380,44,3.3,12,8
10/30/03,2003,190,4,0,0,84,3,302,10,NA,197,281,2003,1397,1,1397,194,2.1,4,7
11/19/03,2003,237,5,0,0,215,2,322,11,NA,244,459,2003,1417,1,1417,242,3.4,7,18
1/14/04,2004,47,0,0,0,6,0,13,1,NA,47,53,2004,1473,1,1473,47,NA,-9,8
2/19/04,2004,968,0,0,0,3,28,49,2,NA,996,999,2004,1509,1,1509,968,NA,-1,6
3/31/04,2004,120,31,0,0,52,7,90,3,NA,158,210,2004,1550,1,1550,151,NA,1,8
4/27/04,2004,32,31,0,0,99,2,117,4,NA,65,164,2004,1577,1,1577,63,1.5,6,9
5/10/04,2004,245,39,5,0,388,1,130,5,NA,290,678,2004,1590,1,1590,289,3.1,19,5
5/24/04,2004,340,49,187,51,303,20,144,5,NA,647,950,2004,1604,1,1604,627,3.8,12,6
6/7/04,2004,375,122,5,12,157,85,158,6,NA,599,755,2004,1618,1,1618,514,3.7,29,11
6/21/04,2004,35,22,0,2,184,18,172,6,NA,77,261,2004,1632,1,1632,59,NA,20,14
7/7/04,2004,0,0,0,0,0,0,188,7,NA,0,0,2004,1648,1,1648,0,3.4,12,7
7/22/04,2004,0,0,0,0,0,0,203,7,NA,0,0,2004,1663,1,1663,0,3.3,21,3
8/2/04,2004,0,0,0,0,0,0,214,8,NA,0,0,2004,1674,1,1674,0,3.7,27,0
8/16/04,2004,0,0,0,0,0,0,228,8,NA,0,0,2004,1688,1,1688,0,2.8,17,7
9/1/04,2004,1,0,0,0,1,0,244,9,NA,1,2,2004,1704,1,1704,1,1.9,23,4
9/10/04,2004,0,0,0,0,0,0,253,9,NA,0,0,2004,1713,1,1713,0,1.9,21,6
9/30/04,2004,17,7,0,0,0,0,273,9,NA,23,23,2004,1733,1,1733,24,3.5,14.5,4
10/11/04,2004,0,5,0,0,0,0,284,10,NA,5,5,2004,1744,1,1744,5,3.2,18.5,0
10/25/04,2004,3,0,0,0,0,0,298,10,NA,3,3,2004,1758,1,1758,3,1.6,10.1,7
11/9/04,2004,3,0,0,0,0,0,313,11,NA,3,3,2004,1773,1,1773,3,2.2,6.5,10
1/1/05,2005,38,3,0,0,2,13,0,1,NA,54,56,2005,1825,1,1825,41,NA,NA,NA
1/10/05,2005,43,5,0,3,61,5,9,1,NA,56,117,2005,1834,1,1834,51,NA,-7,0
